HAC127&	21:17:08.30&	-12:45:02.09&	V = 17.146&	D = 18.16&	   &	   \
HAC128&	21:17:23.65&	-04:18:14.80&	V = 17.133&	D = 18.07&	   &	   \
HAC129&	21:17:35.78&	-08:51:40.10&	V = 17.454&	D = 18.04&	   &	   \
HAC130&	21:17:43.16&	-08:53:16.26&	V = 17.486&	D = 18.38&	   &	   \
HAC131&	21:17:54.31&	-00:16:56.28&	V = 16.999&	D = 17.11&	-28.9&	MDM\
HAC132&	21:17:55.66&	-12:48:05.44&	V = 16.898&	D = 16.3&	   &	   \
HAC133&	21:18:41.46&	-12:29:42.07&	V = 17.306&	D = 19.69&	   &	   \
HAC134&	21:19:00.62&	-06:14:40.31&	V = 17.457&	D = 18.39&	   &	   \
HAC135&	21:20:11.59&	-14:51:13.75&	V = 17.417&	D = 19.89&	   &	   \
HAC136&	21:20:36.97&	-13:57:05.29&	V = 17.282&	D = 19.2&	   &	   \
HAC137&	21:22:08.81&	+00:16:43.93&	V = 16.939&	D = 16.29&	   &	   \
HAC138&	21:22:26.73&	-12:15:26.89&	V = 17.379&	D = 19.96&	   &	   \
HAC139&	21:22:40.50&	-10:55:46.52&	V = 17.13&	D = 18.18&	   &	   \
HAC140&	21:23:38.52&	-04:44:57.77&	V = 17.273&	D = 19.19&	   &	   \
HAC141&	21:24:35.74&	+00:31:26.69&	V = 17.34&	D = 19.75&	   &	   \
HAC142&	21:24:44.67&	-19:34:15.24&	V = 17.251&	D = 19.26&	   &	   \
HAC143&	21:25:02.78&	-00:11:41.57&	V = 16.981&	D = 17.19&	55.2&	MDM\
HAC144&	21:25:10.96&	-02:45:46.91&	V = 17.295&	D = 18.85&	   &	   \
HAC145&	21:25:35.47&	-08:17:09.42&	V = 16.819&	D = 15.55&	108.3&	MDM\
HAC146&	21:26:21.56&	-06:45:46.04&	V = 17.353&	D = 19.04&	   &	   \
HAC147&	21:26:31.70&	-07:13:15.74&	V = 17.05&	D = 16.29&	   &	   \
HAC148&	21:26:50.92&	-12:19:18.26&	V = 17.057&	D = 17.67&	   &	   \
HAC149&	21:26:53.38&	-18:56:39.80&	V = 16.98&	D = 17.25&	   &	   \
HAC150&	21:27:43.79&	-01:11:50.10&	V = 16.887&	D = 16.26&	   &	   \
HAC151&	21:28:35.96&	-16:47:42.61&	V = 17.34&	D = 19.79&	   &	   \
HAC152&	21:28:44.44&	+01:25:22.69&	V = 16.876&	D = 16.31&	-59.4&	MDM\
HAC153&	21:28:48.98&	-13:39:55.51&	V = 16.855&	D = 15.86&	   &	   \
HAC154&	21:28:51.61&	-16:12:56.12&	V = 16.916&	D = 16.33&	-304.8&	MDM\
HAC155&	21:29:17.72&	-04:59:18.02&	V = 17.112&	D = 18.08&	   &	   \
HAC156&	21:30:04.52&	-09:33:54.29&	V = 16.861&	D = 16.21&	115.4&	MDM\
HAC157&	21:30:06.15&	-10:44:53.34&	V = 17.03&	D = 17.45&	   &	   \
HAC158&	21:30:07.67&	-05:58:47.03&	V = 17.001&	D = 17.27&	-200.6&	MDM\
HAC159&	21:30:17.87&	-15:47:35.30&	V = 16.832&	D = 15.73&	   &	   \
HAC160&	21:30:19.17&	-11:56:49.24&	V = 17.132&	D = 18.19&	   &	   \
HAC161&	21:30:51.18&	-16:38:51.00&	V = 16.987&	D = 17.07&	   &	   \
HAC162&	21:31:21.53&	-03:09:23.40&	V = 17.191&	D = 19.03&	   &	   \
HAC163&	21:31:22.67&	-10:08:07.73&	V = 16.989&	D = 17.47&	   &	   \
HAC164&	21:31:45.51&	-03:31:10.52&	V = 17.288&	D = 19.94&	   &	   \
HAC165&	21:31:47.98&	-18:25:54.55&	V = 17.051&	D = 18.16&	   &	   \
HAC166&	21:32:14.81&	-12:10:56.64&	V = 16.933&	D = 16.58&	60.2&	MDM\
HAC167&	21:32:15.07&	-05:33:28.73&	V = 16.797&	D = 15.62&	   &	   \
HAC168&	21:32:59.79&	-12:46:43.21&	V = 17.298&	D = 19.36&	   &	   \
HAC169&	21:34:10.99&	-02:09:59.62&	V = 17.079&	D = 17.64&	30.2&	MDM\
HAC170&	21:34:21.19&	-03:21:48.02&	V = 17.301&	D = 19.95&	   &	   \
HAC171&	21:34:24.37&	-06:25:42.60&	V = 17.141&	D = 18.65&	   &	   \
HAC172&	21:35:21.47&	-12:27:05.22&	V = 16.723&	D = 15.3&	   &	   \
HAC173&	21:35:28.85&	-13:20:32.53&	V = 16.981&	D = 17.01&	   &	   \
HAC174&	21:36:19.93&	-09:29:02.00&	V = 17.138&	D = 18.83&	   &	   \
HAC175&	21:36:47.26&	-16:36:48.38&	V = 17.114&	D = 18.04&	   &	   \
HAC176&	21:37:00.64&	-05:10:48.22&	V = 17.233&	D = 19.14&	   &	   \
HAC177&	21:37:52.50&	-02:15:04.03&	V = 16.732&	D = 15.56&	205.7&	MDM\
HAC178&	21:38:50.08&	-14:25:04.87&	V = 16.886&	D = 16.36&	   &	   \
HAC179&	21:38:55.26&	-12:19:54.41&	V = 16.87&	D = 16.0&	   &	   \
HAC180&	21:39:28.92&	-13:35:19.93&	V = 16.776&	D = 15.76&	   &	   \
HAC181&	21:41:51.15&	-08:25:36.91&	V = 17.154&	D = 18.83&	   &	   \
HAC182&	21:42:40.05&	-09:19:37.24&	V = 17.004&	D = 17.49&	   &	   \
HAC183&	21:43:13.05&	-12:46:50.84&	V = 17.247&	D = 19.6&	   &	   \
HAC184&	21:44:29.43&	-07:29:16.08&	V = 16.832&	D = 16.19&	5.3&	SDSS\
HAC185&	21:45:06.28&	-12:43:20.32&	V = 16.701&	D = 15.24&	   &	   \
HAC186&	21:45:13.87&	-08:22:02.64&	V = 16.879&	D = 16.29&	60.5&	MDM\
HAC187&	21:47:22.24&	-02:41:56.58&	V = 16.858&	D = 16.34&	159.3&	MDM\
HAC188&	21:48:32.20&	-11:20:20.76&	V = 17.298&	D = 19.89&	   &	   \
HAC189&	21:48:40.26&	-03:27:41.72&	V = 16.658&	D = 15.36&	   &	   \
HAC190&	21:48:45.92&	-10:06:12.35&	V = 17.217&	D = 19.32&	   &	   \
HAC191&	21:49:09.47&	-05:05:58.67&	V = 17.057&	D = 18.04&	-21.9&	MDM\
HAC192&	21:49:33.20&	-10:50:22.38&	V = 17.121&	D = 18.37&	   &	   \
